package	verdict	source_list	reason
aether	omarchy	omarchy-base	omarchy-pkgs PKGBUILD; must be built for aarch64
alsa-utils	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
asdcontrol	drop	omarchy-base	Apple Studio Display brightness control
avahi	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
bash-completion	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
bat	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
bluez	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
bluez-tools	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
bluez-utils	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
bolt	drop	omarchy-base	Thunderbolt device manager; the CM5 has no Thunderbolt
brightnessctl	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
btop	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
chromium	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
clang	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
cliamp	omarchy	omarchy-base	omarchy-pkgs PKGBUILD; must be built for aarch64
cups	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
cups-browsed	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
cups-filters	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
cups-pdf	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
ddcutil	drop	omarchy-base	DDC/CI control for external monitors over I2C; the internal DSI panel has no DDC
docker	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
docker-buildx	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
docker-compose	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
dosfstools	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
dotnet-runtime	aur	omarchy-base	not in aarch64 repos or omarchy-pkgs; AUR build required
dua-cli	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
evince	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
exfatprogs	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
expac	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
eza	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
fakeroot	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
fastfetch	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
fcitx5	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
fcitx5-gtk	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
fcitx5-qt	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
fd	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
ffmpegthumbnailer	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
fontconfig	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
foot	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
fzf	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
git	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
gnome-keyring	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
gnome-themes-extra	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
grim	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
gpu-screen-recorder	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
gum	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
gvfs-mtp	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
gvfs-nfs	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
gvfs-smb	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
herdr	omarchy	omarchy-base	omarchy-pkgs PKGBUILD; must be built for aarch64
hyprland	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
hyprland-guiutils	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
hyprland-preview-share-picker	omarchy	omarchy-base	omarchy-pkgs PKGBUILD; must be built for aarch64
hyprpicker	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
hyprsunset	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
imagemagick	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
imv	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
inetutils	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
inotify-tools	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
inxi	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
networkmanager	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
jq	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
kdenlive	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
kernel-modules-hook	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
lazydocker	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
lazygit	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
less	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
libsecret	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
libvips	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
libyaml	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
libreoffice-fresh	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
llvm	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
localsend	omarchy	omarchy-base	omarchy-pkgs PKGBUILD; must be built for aarch64
lua51	alarm	omarchy-base	in Arch Linux ARM aarch64 repos
